T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,
0,12,75,268,418,234,144,114,36,9,3,3,2,3,1,
0,8,91,285,346,287,125,36,20,8,5,7,1,0,0,
0,9,73,274,483,419,163,75,21,7,2,4,7,2,0,
0,15,78,250,446,344,111,49,16,7,7,7,1,2,0,
0,7,66,277,465,308,167,118,47,11,3,4,7,3,0,
0,11,66,230,431,271,147,61,18,7,7,4,0,0,0,
0,9,52,211,379,261,105,45,18,6,1,1,6,6,0,
0,11,70,239,468,279,136,86,44,11,4,2,0,1,0,
0,11,70,239,468,279,136,86,44,11,4,2,0,1,0,
0,11,70,239,468,279,136,86,44,11,4,2,0,1,0,
0,11,70,239,468,279,136,86,44,11,4,2,0,1,0,
0,11,70,239,468,279,136,86,44,11,4,2,0,1,0,
0,7,48,190,286,180,100,49,21,8,4,1,0,0,0,
0,8,72,209,373,289,116,62,22,7,7,2,4,1,0,
0,8,62,320,491,250,129,71,32,9,7,2,0,0,0,
0,7,46,244,365,203,146,49,30,9,5,7,4,1,0,
0,7,46,244,365,203,146,49,30,9,5,7,4,1,0,
0,7,56,218,389,358,123,39,13,7,7,1,0,1,0,
0,9,129,380,545,368,164,62,33,17,8,2,0,2,8,
0,7,63,237,369,432,183,61,22,12,7,2,0,0,0,
0,7,66,372,426,221,108,62,26,9,1,1,0,0,0,
0,9,80,272,311,263,172,63,21,11,7,1,0,0,0,
0,9,80,272,311,263,172,63,21,11,7,1,0,0,0,
0,9,80,272,311,263,172,63,21,11,7,1,0,0,0,
0,9,80,272,311,263,172,63,21,11,7,1,0,0,0,
0,9,80,272,311,263,172,63,21,11,7,1,0,0,0,
0,8,82,234,274,272,200,69,21,9,7,5,0,0,0,
0,8,82,234,274,272,200,69,21,9,7,5,0,0,0,
0,8,67,236,362,271,104,50,21,10,6,1,0,0,0,
0,8,67,236,362,271,104,50,21,10,6,1,0,0,0,
0,8,71,257,370,235,133,98,49,15,3,1,3,1,0,
0,8,68,234,416,395,141,52,20,8,7,2,0,1,0,
0,8,60,176,395,285,140,53,19,11,7,5,0,0,0,
0,8,77,278,415,335,158,45,20,10,7,5,1,2,0,
0,5,47,211,375,305,149,53,18,7,7,3,6,2,0,
0,6,59,259,319,259,127,52,13,7,3,5,6,5,0,
0,7,45,165,327,231,178,76,23,9,7,5,1,2,0,
0,7,44,206,371,230,145,83,42,12,2,2,0,0,0,
0,9,44,192,398,281,145,61,25,8,7,3,0,0,0,
0,8,73,313,586,358,140,60,23,7,1,2,0,0,0,
0,7,68,262,399,331,120,37,13,7,7,1,0,0,0,
0,7,71,330,428,307,171,78,34,21,21,14,7,1,0,
0,7,71,330,428,307,171,78,34,21,21,14,7,1,0,
0,9,55,232,433,369,136,56,21,10,7,2,1,2,0,
0,11,93,300,366,226,118,47,26,9,6,2,2,3,1,
0,6,57,208,365,223,95,42,25,13,7,2,0,0,0,
0,9,54,270,512,300,133,57,23,9,4,5,7,3,0,
0,8,59,233,441,313,141,74,42,18,7,3,0,0,0,
0,6,60,343,413,230,147,66,29,10,7,1,0,0,0,
0,6,60,343,413,230,147,66,29,10,7,1,0,0,0,
0,10,57,237,457,210,83,69,55,25,10,7,4,5,0,
0,8,78,280,534,344,139,58,20,8,1,1,0,0,0,
0,11,92,413,519,468,175,54,24,9,7,6,2,6,3,
0,11,109,255,301,210,145,64,25,10,2,7,2,1,0,
0,12,70,283,441,209,133,81,34,17,9,4,4,2,0,
0,8,55,246,420,216,151,71,32,12,7,1,0,5,0,
0,12,85,261,418,234,97,48,21,18,10,7,7,4,0,
0,11,50,230,444,259,115,53,27,16,7,7,7,1,0,
0,11,50,230,444,259,115,53,27,16,7,7,7,1,0,
0,11,50,230,444,259,115,53,27,16,7,7,7,1,0,
0,11,50,230,444,259,115,53,27,16,7,7,7,1,0,
0,11,50,230,444,259,115,53,27,16,7,7,7,1,0,
0,10,81,316,513,302,150,72,36,19,10,5,0,1,0,
1,11,68,210,443,341,141,63,26,10,7,6,0,0,0,
0,9,69,234,470,322,136,66,25,9,6,2,0,0,0,
0,9,69,234,470,322,136,66,25,9,6,2,0,0,0,
1,10,44,219,336,185,116,57,29,11,7,3,0,0,0,
0,10,71,317,427,276,156,65,34,21,8,4,0,2,0,
0,8,59,219,294,208,120,84,39,17,14,8,0,2,1,
0,13,84,292,472,282,158,69,25,17,7,1,0,1,0,
0,13,84,292,472,282,158,69,25,17,7,1,0,1,0,
0,10,65,283,457,244,145,105,42,16,9,7,2,2,0,
0,5,63,267,392,211,107,63,40,16,7,1,0,0,0,
0,9,77,295,450,296,128,51,23,12,7,7,0,2,1,
0,7,79,319,425,207,91,31,15,7,7,7,7,2,0,
0,7,79,319,425,207,91,31,15,7,7,7,7,2,0,
0,9,57,228,342,246,117,66,44,16,7,4,0,0,0,
0,12,104,276,279,194,85,43,18,10,7,3,0,1,0,
0,11,60,154,185,119,84,53,24,8,7,7,2,0,0,
0,7,109,360,348,205,130,73,30,14,7,2,0,0,0,
0,9,56,244,284,171,89,60,28,9,7,7,4,0,0,
0,10,82,265,370,203,83,49,39,19,11,5,0,0,0,
0,11,77,247,424,254,97,73,30,11,7,1,0,1,0,
0,12,91,231,284,151,83,46,22,8,4,3,0,2,0,
0,12,73,167,270,161,127,64,24,12,7,4,0,2,0,
0,12,73,167,270,161,127,64,24,12,7,4,0,2,0,
0,12,73,167,270,161,127,64,24,12,7,4,0,2,0,
0,12,68,261,385,197,133,71,25,8,0,2,7,4,0,
0,15,68,193,379,289,144,82,25,9,2,2,0,2,0,
0,14,79,254,397,194,91,47,21,9,1,3,1,7,7,
0,12,85,293,370,221,88,54,25,9,3,1,0,0,0,
0,11,69,263,328,216,81,41,23,14,8,5,1,1,0,
0,13,96,291,421,238,105,55,27,11,7,5,0,6,0,
0,14,57,241,385,198,92,46,24,8,6,2,0,1,7,
0,13,57,228,337,179,98,46,23,11,7,3,1,1,0,
0,19,109,265,420,281,106,39,16,12,7,6,6,2,0,
0,19,109,265,420,281,106,39,16,12,7,6,6,2,0,
0,14,82,282,405,267,136,52,18,10,7,2,0,1,0,
0,14,74,239,349,237,115,59,35,13,7,1,0,0,0,
1,22,119,233,318,260,97,49,22,13,7,1,0,3,2,
0,16,136,376,451,268,124,66,26,9,2,5,0,2,0,
0,12,59,237,421,355,173,74,30,11,7,1,0,2,0,
0,13,92,290,474,268,130,74,37,15,7,7,7,2,0,
0,9,81,333,477,299,146,63,28,15,7,3,0,6,3,
0,10,66,206,277,207,90,39,18,12,7,5,2,2,0,
0,12,89,294,290,161,95,48,22,12,7,2,0,7,2,
0,11,72,221,278,173,75,41,15,14,7,3,0,3,0,
0,11,56,163,387,270,137,58,21,9,2,1,1,2,0,
0,11,56,163,387,270,137,58,21,9,2,1,1,2,0,
0,11,56,163,387,270,137,58,21,9,2,1,1,2,0,
0,11,56,163,387,270,137,58,21,9,2,1,1,2,0,
0,11,56,163,387,270,137,58,21,9,2,1,1,2,0,
0,11,56,163,387,270,137,58,21,9,2,1,1,2,0,
0,11,56,163,387,270,137,58,21,9,2,1,1,2,0,
0,11,82,360,482,240,113,52,35,17,7,1,0,1,0,
0,9,69,231,339,219,99,40,18,8,7,7,1,0,0,
0,8,57,177,262,232,109,54,28,11,6,1,0,0,0,
0,9,52,270,305,171,78,38,19,7,3,2,7,4,0,
0,11,93,302,318,184,121,64,27,13,7,1,0,0,0,
0,9,75,231,349,260,136,71,26,10,7,7,8,5,0,
0,10,102,306,483,275,112,55,27,12,7,7,1,7,0,
0,9,59,212,477,242,101,56,29,11,7,7,7,0,0,
0,10,85,237,344,220,114,52,22,8,5,1,0,0,0,
0,10,85,237,344,220,114,52,22,8,5,1,0,0,0,
0,12,85,355,376,167,143,78,33,15,7,5,2,5,1,
0,10,69,228,333,285,131,43,17,7,6,1,0,0,0,
0,10,77,245,246,131,74,37,25,18,7,7,7,5,0,
0,10,71,200,297,157,76,68,32,10,5,2,7,5,0,
0,9,68,184,298,206,94,42,21,19,7,6,0,1,7,
0,20,114,263,352,163,94,61,28,10,6,1,0,0,0,
0,16,67,201,475,239,95,31,14,6,6,1,0,2,0,
0,16,67,201,475,239,95,31,14,6,6,1,0,2,0,
0,11,98,287,304,181,145,72,31,14,7,3,0,1,0,
0,10,94,248,311,162,91,48,27,15,7,7,7,1,0,
0,10,64,221,271,193,77,34,13,7,7,6,0,1,0,
0,10,101,271,360,233,118,56,25,13,7,7,4,0,0,
0,11,68,206,331,235,109,49,19,14,8,7,1,2,0,
0,10,103,347,343,195,111,45,20,9,7,2,0,1,0,
0,9,95,341,500,273,140,86,37,16,7,4,0,1,0,
0,9,57,234,495,343,122,47,14,10,9,7,0,5,0,
0,8,78,216,329,276,134,64,25,9,7,2,0,4,0,
0,8,78,216,329,276,134,64,25,9,7,2,0,4,0,
0,8,78,216,329,276,134,64,25,9,7,2,0,4,0,
0,8,78,216,329,276,134,64,25,9,7,2,0,4,0,
0,8,61,305,374,290,115,55,33,16,11,7,2,0,0,
0,10,69,309,516,342,154,65,27,10,1,1,2,1,0,
0,14,84,293,453,383,182,98,38,14,7,4,1,2,7,
0,13,101,250,379,250,122,56,30,19,8,3,0,0,0,
0,14,104,247,275,188,118,55,30,11,4,2,1,3,5,
0,13,107,360,418,256,135,56,31,14,7,2,0,3,0,
0,12,92,217,410,253,118,52,18,7,1,2,2,1,0,
0,11,66,220,341,241,142,56,28,19,13,5,0,0,0,
0,10,60,269,299,192,91,37,15,7,7,4,0,4,0,
0,12,110,290,298,205,160,67,26,11,7,2,6,1,1,
0,12,110,290,298,205,160,67,26,11,7,2,6,1,1,
1,18,103,246,350,180,97,43,15,7,4,1,0,2,0,
0,13,124,301,489,338,143,97,35,15,8,8,7,6,0,
0,15,89,256,393,318,108,45,20,10,3,4,7,5,0,
2,24,120,321,401,269,169,101,29,14,10,6,0,0,0,
0,13,76,220,318,245,161,85,36,14,7,3,0,3,2,
0,14,106,260,348,318,110,32,13,9,7,5,0,0,0,
0,13,62,167,225,117,79,69,31,11,4,7,7,1,0,
0,14,83,207,358,185,65,38,35,23,7,2,0,0,0,
0,15,75,192,367,213,80,34,15,7,7,1,0,0,0,
0,11,84,255,329,234,109,44,20,9,6,1,0,0,0,
0,14,80,183,312,215,118,34,14,7,7,7,1,0,0,
0,12,87,255,330,219,101,40,16,12,7,1,0,0,0,
0,10,92,260,348,267,116,54,27,12,7,1,0,0,0,
0,7,56,229,311,214,112,44,20,10,7,5,0,0,2,
0,7,56,229,311,214,112,44,20,10,7,5,0,0,2,
0,12,68,237,343,209,81,36,17,10,7,3,0,0,0,
0,10,64,209,248,117,60,38,25,9,7,3,0,0,0,
0,11,72,182,253,178,92,49,20,7,5,1,2,0,0,
0,13,98,274,371,249,167,69,26,17,7,2,0,0,0,
0,10,67,184,308,239,108,58,36,22,10,5,0,0,0,
0,13,79,186,296,210,99,41,14,8,7,2,0,0,0,
0,13,79,186,296,210,99,41,14,8,7,2,0,0,0,
0,12,80,201,301,198,104,49,23,13,7,1,0,0,0,
0,10,64,230,323,199,98,44,26,10,7,2,0,0,0,
0,12,101,306,466,316,164,83,39,17,7,4,0,0,0,
0,10,63,200,354,271,148,63,25,9,3,2,0,0,0,
0,14,69,208,329,242,142,73,36,16,8,4,0,0,0,
0,11,93,306,319,195,114,70,35,13,7,3,2,0,0,
0,11,63,247,403,305,135,61,37,14,7,6,0,0,0,
0,13,73,242,347,232,114,44,16,10,1,4,0,1,0,
0,12,86,328,425,246,97,44,28,10,7,3,0,4,2,
0,12,86,328,425,246,97,44,28,10,7,3,0,4,2,
0,12,86,328,425,246,97,44,28,10,7,3,0,4,2,
0,12,86,328,425,246,97,44,28,10,7,3,0,4,2,
0,15,83,227,428,285,121,46,26,18,8,7,4,1,0,
0,15,83,227,428,285,121,46,26,18,8,7,4,1,0,
0,13,85,254,315,205,135,52,25,10,7,1,0,0,0,
0,10,71,202,257,187,97,38,19,7,6,2,0,3,7,
0,15,74,237,508,308,92,28,15,13,7,7,7,4,0,
0,10,61,281,433,306,154,62,30,17,7,2,0,2,2,
0,14,92,286,381,236,108,51,20,7,7,2,0,2,2,
0,14,92,286,381,236,108,51,20,7,7,2,0,2,2,
0,10,61,200,369,247,97,50,25,17,13,7,0,2,0,
0,11,71,252,378,247,130,70,31,10,5,1,0,1,1,
0,11,71,252,378,247,130,70,31,10,5,1,0,1,1,
0,11,71,252,378,247,130,70,31,10,5,1,0,1,1,
0,13,102,334,378,230,96,52,22,9,7,5,0,1,0,
0,10,66,204,400,289,127,55,33,17,7,7,7,1,0,
0,10,66,204,400,289,127,55,33,17,7,7,7,1,0,
0,10,84,303,375,291,140,83,39,17,7,3,0,1,2,
0,13,89,270,388,280,133,56,28,21,12,7,0,0,0,
0,11,71,284,313,151,93,60,27,11,7,1,0,0,0,
0,12,87,196,253,266,142,58,24,11,7,7,1,0,0,
0,13,60,192,318,234,99,46,22,9,7,3,0,0,0,
0,13,60,192,318,234,99,46,22,9,7,3,0,0,0,
0,12,97,270,427,265,129,56,20,8,7,4,1,1,0,
0,13,88,291,335,175,77,35,18,14,7,2,0,1,0,
0,13,111,278,343,242,100,44,17,7,4,4,7,1,0,
0,10,91,402,587,262,105,56,42,26,12,3,0,2,1,
0,10,107,295,436,197,96,45,22,13,5,3,0,2,3,
0,10,49,182,353,190,109,51,26,14,7,2,0,0,0,
0,10,68,259,294,228,114,47,20,8,13,9,7,1,0,
0,6,50,185,322,302,110,39,21,8,7,2,0,0,0,
