T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,
1,1,5,6,9,14,17,28,32,45,68,99,119,148,205,295,441,638,856,1206,1561,1727,1812,2093,2420,2752,3338,3755,3982,3727,3580,3846,3614,3343,3340,3414,3366,2873,2492,2195,1797,1660,1471,1383,1290,1239,1158,1173,1174,1099,909,768,617,491,384,325,295,254,202,168,161,158,178,175,163,161,140,117,96,75,66,45,42,37,36,38,42,48,51,53,63,78,99,109,104,112,115,125,148,151,134,117,85,74,57,43,34,26,23,24,23,19,13,12,10,5,
1,2,3,5,6,9,11,16,26,39,58,90,134,215,298,389,488,593,715,916,1155,1349,1612,2018,2427,3031,3390,3636,3907,4404,4327,3513,2928,2371,2018,1768,1477,1244,1098,1147,1136,1100,1114,1150,1206,1234,1308,1383,1302,1188,971,827,741,598,470,394,308,259,251,235,249,272,254,199,171,154,108,101,85,72,65,62,54,62,64,67,68,61,65,52,38,34,30,31,31,19,20,16,15,11,9,9,9,8,5,3,2,2,0,0,0,0,0,0,0,0,
1,1,3,5,10,16,16,19,32,41,57,76,97,150,206,308,439,594,775,1186,1514,1825,2205,2620,3050,3518,3691,3373,3064,2695,2492,2400,2498,2614,2693,2621,2439,2137,1741,1426,1373,1200,1195,1121,1075,876,828,701,604,498,433,403,356,348,337,311,277,241,223,202,204,179,169,162,136,134,134,124,105,92,79,79,68,62,55,35,38,39,36,31,27,27,26,31,30,36,39,52,54,56,49,51,51,43,41,36,29,25,20,20,20,19,13,11,8,6,
1,2,3,5,9,11,16,22,38,56,97,140,150,208,264,332,535,782,859,1116,1519,1791,2169,2471,2872,3402,3779,3861,3726,3433,3383,3511,3188,3104,3119,2830,2655,2289,1925,1609,1472,1416,1270,1056,983,981,1077,1147,1093,957,831,698,584,552,554,511,456,379,342,336,298,260,216,211,186,149,143,122,99,100,95,81,77,80,69,60,52,44,44,37,31,26,25,21,18,21,22,22,28,28,25,24,21,17,14,12,11,10,9,11,10,9,9,10,10,11,
1,1,3,5,7,11,14,15,23,34,57,88,124,178,221,301,357,481,632,750,904,1148,1398,1691,2104,2502,2894,3331,3790,3973,4314,3836,3768,3288,2940,2624,2297,2127,1965,1958,1905,1624,1515,1295,1243,1312,1214,1148,1191,1121,957,836,733,665,596,524,498,428,366,314,268,218,181,163,145,129,109,105,94,80,73,61,58,51,44,41,34,34,33,39,45,48,52,60,62,70,63,56,57,63,54,50,42,33,25,24,19,21,17,20,22,23,22,23,25,22,
1,2,3,6,9,9,14,26,39,55,71,86,119,158,227,303,352,423,551,685,873,1064,1312,1614,1881,2290,2612,2664,2782,3003,3035,3069,2852,2595,2361,2264,2199,2183,2058,1988,1921,1799,1643,1630,1454,1203,1078,1021,894,767,727,591,488,423,378,346,307,281,309,309,275,234,213,185,156,141,115,113,106,86,73,57,53,44,44,44,43,40,42,42,46,34,25,22,20,21,25,24,24,22,28,33,36,29,22,24,25,32,30,24,20,24,26,20,15,12,
1,2,3,6,9,9,14,26,39,55,71,86,119,158,227,303,352,423,551,685,873,1064,1312,1614,1881,2290,2612,2664,2782,3003,3035,3069,2852,2595,2361,2264,2199,2183,2058,1988,1921,1799,1643,1630,1454,1203,1078,1021,894,767,727,591,488,423,378,346,307,281,309,309,275,234,213,185,156,141,115,113,106,86,73,57,53,44,44,44,43,40,42,42,46,34,25,22,20,21,25,24,24,22,28,33,36,29,22,24,25,32,30,24,20,24,26,20,15,12,
1,2,3,6,9,9,14,26,39,55,71,86,119,158,227,303,352,423,551,685,873,1064,1312,1614,1881,2290,2612,2664,2782,3003,3035,3069,2852,2595,2361,2264,2199,2183,2058,1988,1921,1799,1643,1630,1454,1203,1078,1021,894,767,727,591,488,423,378,346,307,281,309,309,275,234,213,185,156,141,115,113,106,86,73,57,53,44,44,44,43,40,42,42,46,34,25,22,20,21,25,24,24,22,28,33,36,29,22,24,25,32,30,24,20,24,26,20,15,12,
1,2,3,6,9,9,14,26,39,55,71,86,119,158,227,303,352,423,551,685,873,1064,1312,1614,1881,2290,2612,2664,2782,3003,3035,3069,2852,2595,2361,2264,2199,2183,2058,1988,1921,1799,1643,1630,1454,1203,1078,1021,894,767,727,591,488,423,378,346,307,281,309,309,275,234,213,185,156,141,115,113,106,86,73,57,53,44,44,44,43,40,42,42,46,34,25,22,20,21,25,24,24,22,28,33,36,29,22,24,25,32,30,24,20,24,26,20,15,12,
1,2,3,6,9,9,14,26,39,55,71,86,119,158,227,303,352,423,551,685,873,1064,1312,1614,1881,2290,2612,2664,2782,3003,3035,3069,2852,2595,2361,2264,2199,2183,2058,1988,1921,1799,1643,1630,1454,1203,1078,1021,894,767,727,591,488,423,378,346,307,281,309,309,275,234,213,185,156,141,115,113,106,86,73,57,53,44,44,44,43,40,42,42,46,34,25,22,20,21,25,24,24,22,28,33,36,29,22,24,25,32,30,24,20,24,26,20,15,12,
1,2,3,6,9,9,14,26,39,55,71,86,119,158,227,303,352,423,551,685,873,1064,1312,1614,1881,2290,2612,2664,2782,3003,3035,3069,2852,2595,2361,2264,2199,2183,2058,1988,1921,1799,1643,1630,1454,1203,1078,1021,894,767,727,591,488,423,378,346,307,281,309,309,275,234,213,185,156,141,115,113,106,86,73,57,53,44,44,44,43,40,42,42,46,34,25,22,20,21,25,24,24,22,28,33,36,29,22,24,25,32,30,24,20,24,26,20,15,12,
1,2,4,5,8,9,10,16,27,37,52,59,83,114,181,246,359,479,676,881,1108,1335,1699,2247,2621,2933,3093,3406,3702,3770,4057,3805,3557,3022,2670,2375,2209,1977,1784,1598,1453,1353,1278,1135,1037,938,831,739,638,588,542,464,407,348,320,268,222,191,170,150,131,122,118,109,104,125,116,111,94,87,83,71,65,55,49,41,34,32,28,26,25,23,21,22,21,24,27,28,28,24,25,26,30,30,25,22,16,13,13,14,13,13,12,14,10,10,
1,2,4,5,8,9,10,16,27,37,52,59,83,114,181,246,359,479,676,881,1108,1335,1699,2247,2621,2933,3093,3406,3702,3770,4057,3805,3557,3022,2670,2375,2209,1977,1784,1598,1453,1353,1278,1135,1037,938,831,739,638,588,542,464,407,348,320,268,222,191,170,150,131,122,118,109,104,125,116,111,94,87,83,71,65,55,49,41,34,32,28,26,25,23,21,22,21,24,27,28,28,24,25,26,30,30,25,22,16,13,13,14,13,13,12,14,10,10,
1,2,4,5,6,10,11,15,30,39,50,61,81,125,186,242,294,380,493,591,677,818,993,1102,1222,1401,1677,1872,2258,2480,2703,2965,2793,2645,2339,2386,2441,2406,2309,2066,1997,1860,1734,1456,1323,1178,1102,935,761,643,529,476,375,313,272,218,185,141,128,126,107,89,70,59,55,52,47,37,29,25,21,18,15,22,28,34,33,36,31,30,28,21,20,20,22,17,12,13,16,18,22,26,25,24,32,21,25,27,28,27,26,22,20,19,13,11,
1,3,4,9,11,16,23,29,27,41,54,78,114,186,283,390,516,764,1113,1477,1825,2097,2437,2634,2922,2896,2833,2468,2564,2915,2553,2301,2152,1891,1866,1692,1640,1703,1544,1405,1240,1063,920,884,901,906,882,916,857,728,605,540,452,419,390,332,286,249,225,196,162,174,174,161,153,141,123,102,90,70,64,59,56,56,67,70,81,81,72,59,50,43,34,29,27,24,19,17,20,23,20,20,16,13,15,13,11,12,9,11,15,16,17,17,13,13,
1,2,4,5,6,12,17,20,29,40,51,70,92,141,197,286,364,555,749,912,1061,1192,1364,1351,1304,1492,1823,2079,2247,2486,2387,2363,2533,2874,3008,2946,2739,2543,2387,1973,1630,1446,1472,1424,1288,1253,1105,974,887,757,657,621,579,483,372,315,280,228,219,175,146,117,88,73,63,64,53,52,45,44,37,36,30,29,26,25,23,27,25,28,37,46,46,46,42,52,54,51,44,44,41,42,37,24,20,19,15,15,17,11,11,9,8,10,14,15,
1,2,4,6,4,6,8,10,17,32,60,75,96,125,164,232,356,495,683,895,1067,1224,1348,1528,1756,2169,2656,2627,2432,2407,2226,2359,2635,2575,2550,2572,2368,1869,1907,1795,1510,1254,1187,1159,989,824,681,569,487,420,333,282,267,232,226,196,185,202,226,243,259,268,267,246,232,201,194,181,160,136,112,95,91,78,65,62,61,47,44,36,30,29,25,23,19,15,11,8,6,5,4,5,4,4,1,3,2,2,2,2,2,2,2,2,3,3,
1,1,2,5,6,11,14,24,34,36,56,64,93,125,172,222,272,293,332,464,641,938,1341,1887,2478,3235,3864,4205,4164,4167,3718,3072,2807,2637,2330,2292,2494,2819,2868,2648,2413,2286,2213,1954,1615,1409,1145,981,813,665,532,431,357,353,328,315,254,221,198,181,175,168,121,93,76,60,51,48,45,46,47,64,87,74,67,55,46,43,37,29,24,22,22,20,19,18,17,15,17,13,11,8,8,5,3,3,0,0,0,0,0,0,0,0,0,0,
1,2,4,7,8,13,17,27,36,58,75,102,135,185,302,469,583,758,1021,1214,1466,1700,2077,2505,2999,3137,3351,3443,3529,3622,3662,3059,2840,2684,2182,2072,1993,1972,1804,1458,1322,1297,1263,1313,1233,1116,923,810,682,550,439,375,313,252,197,175,167,134,117,111,114,99,78,60,45,38,40,38,38,48,49,51,53,60,59,58,53,60,58,61,65,63,66,50,36,32,24,23,24,30,24,24,31,33,36,38,40,36,37,29,26,23,25,21,16,16,
1,3,5,4,6,11,12,19,31,48,53,81,130,194,272,367,496,605,681,792,863,954,1199,1364,1642,1857,2108,2666,3361,3911,4250,3732,3053,2542,2236,1907,1969,2015,1882,1968,1860,1666,1586,1414,1155,964,771,685,667,594,546,478,485,536,532,552,514,439,402,333,299,264,236,222,180,149,116,89,79,70,68,74,67,64,57,52,48,38,35,34,27,23,27,24,21,21,19,16,13,13,11,10,9,9,9,8,7,6,5,4,4,5,5,6,6,7,
