gamma,psi,phi,initialBeta,betaJitter,betaRefactor_distribs_0,betaRefactor_changetime_0,betaRefactor_distribs_1,initialI,
0.06805839763890081,0.001,0.021656051953550536,0.10045855906213216,0.028888532102286667,1.0,149.0,1.5608525679874312,521.0,
0.057822640656996646,0.001,0.020668811744844296,0.09796236401220515,0.0324491518919424,1.0,145.0,1.5992210108878313,520.0,
0.05349557275564377,0.001,0.019355919170709328,0.0905688888013013,0.03750442196450179,1.0,151.0,1.770837716098426,505.0,
0.05349557275564377,0.001,0.019355919170709328,0.0905688888013013,0.03750442196450179,1.0,151.0,1.770837716098426,505.0,
0.059672764879166916,0.001,0.01947828642119632,0.09016882987302882,0.0348528881223224,1.0,149.0,1.73645583681922,535.0,
0.06054266001220019,0.001,0.01901820961279786,0.08612217849811464,0.03158694461792882,1.0,159.0,1.53535630146228,495.0,
0.06366574472866558,0.001,0.020265313365687265,0.08098755336333595,0.026794778384873798,1.0,147.0,1.9107169844632756,479.0,
0.06366574472866558,0.001,0.020265313365687265,0.08098755336333595,0.026794778384873798,1.0,147.0,1.9107169844632756,479.0,
0.06457618729020366,0.001,0.018686992556045643,0.08138358919241916,0.027697100344481192,1.0,151.0,1.5246701103114881,513.0,
0.06457618729020366,0.001,0.018686992556045643,0.08138358919241916,0.027697100344481192,1.0,151.0,1.5246701103114881,513.0,
0.05858882534268439,0.001,0.018830697780292886,0.07726909682771439,0.02322691456636627,1.0,142.0,1.6701373375050836,513.0,
0.06637963341438091,0.001,0.020786743568385436,0.06297567772011597,0.026369930260156067,1.0,143.0,1.6341663962828747,490.0,
0.06637963341438091,0.001,0.020786743568385436,0.06297567772011597,0.026369930260156067,1.0,143.0,1.6341663962828747,490.0,
0.05940807291144352,0.001,0.020848650275403734,0.07012704176475162,0.02281481856917938,1.0,153.0,1.641158480293147,479.0,
0.05940807291144352,0.001,0.020848650275403734,0.07012704176475162,0.02281481856917938,1.0,153.0,1.641158480293147,479.0,
0.05940807291144352,0.001,0.020848650275403734,0.07012704176475162,0.02281481856917938,1.0,153.0,1.641158480293147,479.0,
