T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,T_106,T_107,T_108,T_109,T_110,T_111,T_112,T_113,T_114,T_115,T_116,T_117,T_118,T_119,
1,2,4,4,4,7,9,13,16,24,34,46,65,87,115,145,169,216,282,337,402,516,633,758,896,1059,1245,1511,1786,2007,2227,2501,2725,3110,3497,3996,4299,4657,4926,5028,4930,4831,4606,4352,4175,3883,3580,3296,2959,2736,2516,2250,1886,1654,1517,1426,1239,1087,991,924,840,748,650,544,458,422,378,339,330,311,283,256,269,255,256,253,216,191,164,141,123,112,98,82,71,62,58,52,51,38,35,31,22,18,16,13,10,9,9,9,7,7,6,6,7,6,6,6,7,8,11,10,8,8,7,5,5,4,3,3,
1,2,4,4,4,7,9,13,16,24,34,46,65,87,115,145,169,216,282,337,402,516,633,758,896,1059,1245,1511,1786,2007,2227,2501,2725,3110,3497,3996,4299,4657,4926,5028,4930,4831,4606,4352,4175,3883,3580,3296,2959,2736,2516,2250,1886,1654,1517,1426,1239,1087,991,924,840,748,650,544,458,422,378,339,330,311,283,256,269,255,256,253,216,191,164,141,123,112,98,82,71,62,58,52,51,38,35,31,22,18,16,13,10,9,9,9,7,7,6,6,7,6,6,6,7,8,11,10,8,8,7,5,5,4,3,3,
1,2,4,4,4,7,9,13,16,24,34,46,65,87,115,145,169,216,282,337,402,516,633,758,896,1059,1245,1511,1786,2007,2227,2501,2725,3110,3497,3996,4299,4657,4926,5028,4930,4831,4606,4352,4175,3883,3580,3296,2959,2736,2516,2250,1886,1654,1517,1426,1239,1087,991,924,840,748,650,544,458,422,378,339,330,311,283,256,269,255,256,253,216,191,164,141,123,112,98,82,71,62,58,52,51,38,35,31,22,18,16,13,10,9,9,9,7,7,6,6,7,6,6,6,7,8,11,10,8,8,7,5,5,4,3,3,
1,2,4,4,4,7,9,13,16,24,34,46,65,87,115,145,169,216,282,337,402,516,633,758,896,1059,1245,1511,1786,2007,2227,2501,2725,3110,3497,3996,4299,4657,4926,5028,4930,4831,4606,4352,4175,3883,3580,3296,2959,2736,2516,2250,1886,1654,1517,1426,1239,1087,991,924,840,748,650,544,458,422,378,339,330,311,283,256,269,255,256,253,216,191,164,141,123,112,98,82,71,62,58,52,51,38,35,31,22,18,16,13,10,9,9,9,7,7,6,6,7,6,6,6,7,8,11,10,8,8,7,5,5,4,3,3,
1,2,4,4,4,7,9,13,16,24,34,46,65,87,115,145,169,216,282,337,402,516,633,758,896,1059,1245,1511,1786,2007,2227,2501,2725,3110,3497,3996,4299,4657,4926,5028,4930,4831,4606,4352,4175,3883,3580,3296,2959,2736,2516,2250,1886,1654,1517,1426,1239,1087,991,924,840,748,650,544,458,422,378,339,330,311,283,256,269,255,256,253,216,191,164,141,123,112,98,82,71,62,58,52,51,38,35,31,22,18,16,13,10,9,9,9,7,7,6,6,7,6,6,6,7,8,11,10,8,8,7,5,5,4,3,3,
1,2,4,4,4,7,9,13,16,24,34,46,65,87,115,145,169,216,282,337,402,516,633,758,896,1059,1245,1511,1786,2007,2227,2501,2725,3110,3497,3996,4299,4657,4926,5028,4930,4831,4606,4352,4175,3883,3580,3296,2959,2736,2516,2250,1886,1654,1517,1426,1239,1087,991,924,840,748,650,544,458,422,378,339,330,311,283,256,269,255,256,253,216,191,164,141,123,112,98,82,71,62,58,52,51,38,35,31,22,18,16,13,10,9,9,9,7,7,6,6,7,6,6,6,7,8,11,10,8,8,7,5,5,4,3,3,
1,1,2,2,5,9,11,17,29,45,47,61,83,108,139,149,160,185,210,260,323,433,559,727,920,1135,1315,1497,1716,2036,2396,2797,3325,3755,3905,4195,4414,4701,4992,5006,5020,4777,4461,4160,3718,3532,3142,2824,2534,2234,2045,1908,1790,1813,1690,1545,1396,1207,1031,883,783,703,599,521,460,398,367,353,335,285,279,265,250,236,207,171,160,146,139,124,102,83,72,61,52,47,39,34,27,26,27,22,16,16,16,15,9,8,7,6,7,8,7,7,7,8,9,10,12,12,10,8,6,5,4,3,4,5,5,4,
1,4,5,8,10,16,20,26,30,36,42,54,71,88,109,132,151,192,228,273,341,429,578,754,1057,1360,1556,1801,2071,2361,2777,2990,3188,3498,3819,4151,4600,4713,4775,4661,4513,4293,4201,3823,3497,3272,3124,2870,2557,2361,2274,2102,1939,1835,1686,1508,1311,1165,1035,867,715,628,540,461,409,371,354,314,303,289,267,247,232,215,191,169,144,129,114,99,89,76,66,51,45,44,40,35,30,24,22,16,13,13,12,7,9,8,6,7,8,7,7,8,9,10,9,7,6,1,1,1,1,1,1,1,1,1,0,0,
1,4,5,8,10,16,20,26,30,36,42,54,71,88,109,132,151,192,228,273,341,429,578,754,1057,1360,1556,1801,2071,2361,2777,2990,3188,3498,3819,4151,4600,4713,4775,4661,4513,4293,4201,3823,3497,3272,3124,2870,2557,2361,2274,2102,1939,1835,1686,1508,1311,1165,1035,867,715,628,540,461,409,371,354,314,303,289,267,247,232,215,191,169,144,129,114,99,89,76,66,51,45,44,40,35,30,24,22,16,13,13,12,7,9,8,6,7,8,7,7,8,9,10,9,7,6,1,1,1,1,1,1,1,1,1,0,0,
1,2,4,5,10,15,15,18,29,40,53,68,100,134,153,163,173,211,263,318,369,426,517,673,816,1011,1282,1665,2078,2529,2965,3584,4248,4724,4727,4506,4135,3908,3440,3183,3189,3189,3171,3137,3077,3130,3019,2798,2568,2251,1936,1759,1600,1428,1267,1152,1033,890,787,687,611,574,510,459,397,357,312,268,268,245,245,229,208,180,169,153,131,109,98,88,79,65,58,55,42,31,29,28,31,28,23,18,20,17,14,12,11,11,7,5,4,5,5,5,6,5,4,4,5,6,8,6,5,4,4,5,5,5,5,3,
1,2,4,5,10,15,15,18,29,40,53,68,100,134,153,163,173,211,263,318,369,426,517,673,816,1011,1282,1665,2078,2529,2965,3584,4248,4724,4727,4506,4135,3908,3440,3183,3189,3189,3171,3137,3077,3130,3019,2798,2568,2251,1936,1759,1600,1428,1267,1152,1033,890,787,687,611,574,510,459,397,357,312,268,268,245,245,229,208,180,169,153,131,109,98,88,79,65,58,55,42,31,29,28,31,28,23,18,20,17,14,12,11,11,7,5,4,5,5,5,6,5,4,4,5,6,8,6,5,4,4,5,5,5,5,3,
1,2,4,5,10,15,15,18,29,40,53,68,100,134,153,163,173,211,263,318,369,426,517,673,816,1011,1282,1665,2078,2529,2965,3584,4248,4724,4727,4506,4135,3908,3440,3183,3189,3189,3171,3137,3077,3130,3019,2798,2568,2251,1936,1759,1600,1428,1267,1152,1033,890,787,687,611,574,510,459,397,357,312,268,268,245,245,229,208,180,169,153,131,109,98,88,79,65,58,55,42,31,29,28,31,28,23,18,20,17,14,12,11,11,7,5,4,5,5,5,6,5,4,4,5,6,8,6,5,4,4,5,5,5,5,3,
1,2,4,5,10,15,15,18,29,40,53,68,100,134,153,163,173,211,263,318,369,426,517,673,816,1011,1282,1665,2078,2529,2965,3584,4248,4724,4727,4506,4135,3908,3440,3183,3189,3189,3171,3137,3077,3130,3019,2798,2568,2251,1936,1759,1600,1428,1267,1152,1033,890,787,687,611,574,510,459,397,357,312,268,268,245,245,229,208,180,169,153,131,109,98,88,79,65,58,55,42,31,29,28,31,28,23,18,20,17,14,12,11,11,7,5,4,5,5,5,6,5,4,4,5,6,8,6,5,4,4,5,5,5,5,3,
1,2,4,5,10,15,15,18,29,40,53,68,100,134,153,163,173,211,263,318,369,426,517,673,816,1011,1282,1665,2078,2529,2965,3584,4248,4724,4727,4506,4135,3908,3440,3183,3189,3189,3171,3137,3077,3130,3019,2798,2568,2251,1936,1759,1600,1428,1267,1152,1033,890,787,687,611,574,510,459,397,357,312,268,268,245,245,229,208,180,169,153,131,109,98,88,79,65,58,55,42,31,29,28,31,28,23,18,20,17,14,12,11,11,7,5,4,5,5,5,6,5,4,4,5,6,8,6,5,4,4,5,5,5,5,3,
1,2,4,5,10,15,15,18,29,40,53,68,100,134,153,163,173,211,263,318,369,426,517,673,816,1011,1282,1665,2078,2529,2965,3584,4248,4724,4727,4506,4135,3908,3440,3183,3189,3189,3171,3137,3077,3130,3019,2798,2568,2251,1936,1759,1600,1428,1267,1152,1033,890,787,687,611,574,510,459,397,357,312,268,268,245,245,229,208,180,169,153,131,109,98,88,79,65,58,55,42,31,29,28,31,28,23,18,20,17,14,12,11,11,7,5,4,5,5,5,6,5,4,4,5,6,8,6,5,4,4,5,5,5,5,3,
1,2,2,4,5,9,16,20,26,30,39,55,81,108,146,201,206,260,316,365,442,570,702,861,1049,1332,1608,1984,2452,2845,3108,3226,3312,3509,3506,3635,3854,4085,4349,4277,4154,3964,3737,3383,3211,3099,2828,2515,2310,2266,2093,1978,1787,1542,1311,1266,1170,1107,932,829,703,609,508,430,399,350,342,341,335,302,265,247,243,211,177,152,130,117,101,92,79,67,52,54,45,42,34,28,27,24,24,20,18,15,11,10,9,8,6,5,4,4,4,4,4,3,6,8,5,5,5,4,5,4,4,3,1,2,2,2,
1,1,3,6,10,15,25,26,31,42,63,79,102,116,121,144,173,199,232,253,287,354,438,536,699,913,1148,1438,1835,2096,2411,2855,3306,3712,3753,3904,4102,4215,4080,3869,3649,3614,3558,3545,3368,3277,3056,2561,2239,1935,1765,1652,1502,1430,1307,1209,1031,879,769,728,720,601,519,492,432,373,312,281,277,255,224,201,198,183,159,150,138,114,109,102,97,86,77,72,63,55,47,38,29,21,15,9,9,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,8,6,6,7,6,6,5,5,5,5,5,
1,1,3,6,10,15,25,26,31,42,63,79,102,116,121,144,173,199,232,253,287,354,438,536,699,913,1148,1438,1835,2096,2411,2855,3306,3712,3753,3904,4102,4215,4080,3869,3649,3614,3558,3545,3368,3277,3056,2561,2239,1935,1765,1652,1502,1430,1307,1209,1031,879,769,728,720,601,519,492,432,373,312,281,277,255,224,201,198,183,159,150,138,114,109,102,97,86,77,72,63,55,47,38,29,21,15,9,9,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,8,6,6,7,6,6,5,5,5,5,5,
1,1,3,6,10,15,25,26,31,42,63,79,102,116,121,144,173,199,232,253,287,354,438,536,699,913,1148,1438,1835,2096,2411,2855,3306,3712,3753,3904,4102,4215,4080,3869,3649,3614,3558,3545,3368,3277,3056,2561,2239,1935,1765,1652,1502,1430,1307,1209,1031,879,769,728,720,601,519,492,432,373,312,281,277,255,224,201,198,183,159,150,138,114,109,102,97,86,77,72,63,55,47,38,29,21,15,9,9,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,8,6,6,7,6,6,5,5,5,5,5,
1,1,3,6,10,15,25,26,31,42,63,79,102,116,121,144,173,199,232,253,287,354,438,536,699,913,1148,1438,1835,2096,2411,2855,3306,3712,3753,3904,4102,4215,4080,3869,3649,3614,3558,3545,3368,3277,3056,2561,2239,1935,1765,1652,1502,1430,1307,1209,1031,879,769,728,720,601,519,492,432,373,312,281,277,255,224,201,198,183,159,150,138,114,109,102,97,86,77,72,63,55,47,38,29,21,15,9,9,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,8,6,6,7,6,6,5,5,5,5,5,
1,1,3,6,10,15,25,26,31,42,63,79,102,116,121,144,173,199,232,253,287,354,438,536,699,913,1148,1438,1835,2096,2411,2855,3306,3712,3753,3904,4102,4215,4080,3869,3649,3614,3558,3545,3368,3277,3056,2561,2239,1935,1765,1652,1502,1430,1307,1209,1031,879,769,728,720,601,519,492,432,373,312,281,277,255,224,201,198,183,159,150,138,114,109,102,97,86,77,72,63,55,47,38,29,21,15,9,9,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,8,6,6,7,6,6,5,5,5,5,5,
1,2,2,3,6,9,12,19,24,29,45,65,85,101,133,161,181,220,241,267,321,383,513,659,856,1084,1371,1708,2100,2557,3080,3615,3813,4109,4002,3860,3770,3959,4125,4312,4567,4820,4700,4247,3683,3164,2831,2673,2478,2315,2195,2051,1834,1624,1479,1360,1262,1104,976,835,781,713,640,560,494,441,401,384,374,322,305,277,245,219,198,151,140,140,132,114,99,90,72,68,62,53,53,47,37,35,35,26,21,18,15,12,8,4,3,3,5,5,3,3,4,5,5,9,6,7,8,7,7,6,5,5,2,2,2,-1,
1,2,4,8,9,14,17,24,32,44,53,72,93,106,132,174,225,252,292,314,346,428,493,586,781,1005,1221,1403,1778,2210,2665,3048,3398,3631,3753,4212,4322,4550,4485,4466,4289,4060,3859,3764,3665,3529,3277,3003,2718,2425,2165,1962,1783,1688,1534,1442,1269,1111,983,849,704,645,570,530,472,407,381,328,328,327,301,265,245,216,218,210,191,177,144,126,104,83,71,64,65,57,50,46,40,40,33,26,20,20,17,14,10,8,6,8,7,5,5,4,6,6,6,7,10,10,10,6,5,6,7,7,6,5,5,4,
1,2,5,7,11,12,14,18,24,26,28,45,54,83,108,140,178,235,280,356,432,522,658,807,937,1133,1363,1617,1787,2046,2381,2847,3209,3679,4065,4439,4756,4828,4922,4758,4411,4200,4022,3893,3738,3522,3381,3176,2771,2543,2267,2095,1830,1786,1760,1528,1296,1104,974,801,650,544,461,388,359,344,362,350,371,375,389,377,335,297,259,235,189,157,123,104,89,68,55,49,43,36,28,26,18,15,10,9,8,10,9,9,8,8,8,6,6,5,5,5,5,6,5,5,5,6,7,10,5,7,7,5,4,4,5,6,
1,2,5,7,11,12,14,18,24,26,28,45,54,83,108,140,178,235,280,356,432,522,658,807,937,1133,1363,1617,1787,2046,2381,2847,3209,3679,4065,4439,4756,4828,4922,4758,4411,4200,4022,3893,3738,3522,3381,3176,2771,2543,2267,2095,1830,1786,1760,1528,1296,1104,974,801,650,544,461,388,359,344,362,350,371,375,389,377,335,297,259,235,189,157,123,104,89,68,55,49,43,36,28,26,18,15,10,9,8,10,9,9,8,8,8,6,6,5,5,5,5,6,5,5,5,6,7,10,5,7,7,5,4,4,5,6,
