"t","R","S","I","sample","Gamma","Beta","Rt"
31.9539074513664,4723,2554,2723,613,0.143,4.5e-05,0.803706293706294
31.9543334449691,4724,2554,2722,613,0.143,4.5e-05,0.803706293706294
31.9559075122572,4725,2554,2721,613,0.143,4.5e-05,0.803706293706294
31.9570793054386,4725,2553,2722,613,0.143,4.5e-05,0.803391608391608
31.9575956890478,4726,2553,2721,613,0.143,4.5e-05,0.803391608391609
31.9582733523033,4727,2553,2720,613,0.143,4.5e-05,0.803391608391609
31.9593656024279,4728,2553,2719,613,0.143,4.5e-05,0.803391608391609
31.9593722700079,4729,2553,2718,613,0.143,4.5e-05,0.803391608391608
31.9599849772597,4730,2553,2717,613,0.143,4.5e-05,0.803391608391609
31.9603242714342,4730,2552,2718,613,0.143,4.5e-05,0.803076923076923
31.9614922447248,4731,2552,2717,613,0.143,4.5e-05,0.803076923076923
31.9623126047169,4732,2552,2716,613,0.143,4.5e-05,0.803076923076923
31.9632739231027,4733,2552,2715,613,0.143,4.5e-05,0.803076923076923
31.9707891968524,4733,2551,2716,613,0.143,4.5e-05,0.802762237762238
31.9711553609975,4733,2550,2717,613,0.143,4.5e-05,0.802447552447553
31.9717225351123,4734,2550,2716,613,0.143,4.5e-05,0.802447552447553
31.9720668213904,4735,2550,2715,614,0.143,4.5e-05,0.802447552447553
31.9721465678249,4736,2550,2714,614,0.143,4.5e-05,0.802447552447553
31.9724617868378,4737,2550,2713,614,0.143,4.5e-05,0.802447552447553
31.9744463099301,4737,2549,2714,614,0.143,4.5e-05,0.802132867132867
31.9758423594346,4738,2549,2713,614,0.143,4.5e-05,0.802132867132867
31.9801084827791,4739,2549,2712,614,0.143,4.5e-05,0.802132867132867
31.9845742657062,4739,2548,2713,614,0.143,4.5e-05,0.801818181818182
31.9852252609925,4739,2547,2714,614,0.143,4.5e-05,0.801503496503497
31.9861247416975,4739,2546,2715,614,0.143,4.5e-05,0.801188811188811
31.9868355528267,4740,2546,2714,615,0.143,4.5e-05,0.801188811188811
31.9869830743864,4740,2545,2715,615,0.143,4.5e-05,0.800874125874126
31.9876402883268,4740,2544,2716,615,0.143,4.5e-05,0.800559440559441
31.9879404899208,4741,2544,2715,616,0.143,4.5e-05,0.800559440559441
31.9883662213338,4741,2543,2716,616,0.143,4.5e-05,0.800244755244755
31.9884363489702,4741,2542,2717,616,0.143,4.5e-05,0.79993006993007
31.9886741175401,4742,2542,2716,616,0.143,4.5e-05,0.79993006993007
31.9904890787552,4743,2542,2715,616,0.143,4.5e-05,0.79993006993007
31.9908268731661,4744,2542,2714,616,0.143,4.5e-05,0.79993006993007
31.9926438702632,4745,2542,2713,616,0.143,4.5e-05,0.79993006993007
31.9928723654766,4746,2542,2712,616,0.143,4.5e-05,0.79993006993007
31.9944640632046,4746,2541,2713,616,0.143,4.5e-05,0.799615384615385
31.9981529695451,4747,2541,2712,616,0.143,4.5e-05,0.799615384615385
31.9984998959755,4747,2540,2713,616,0.143,4.5e-05,0.7993006993007
32.000178659029,4748,2540,2712,616,0.143,4.5e-05,0.799300699300699
32.0002827105464,4749,2540,2711,616,0.143,4.5e-05,0.7993006993007
32.0025947161914,4749,2539,2712,616,0.143,4.5e-05,0.798986013986014
32.0043813969205,4749,2538,2713,616,0.143,4.5e-05,0.798671328671329
32.0044299751956,4749,2537,2714,616,0.143,4.5e-05,0.798356643356643
32.006627717662,4750,2537,2713,616,0.143,4.5e-05,0.798356643356643
