T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,T_106,T_107,T_108,T_109,T_110,T_111,T_112,T_113,T_114,T_115,T_116,T_117,T_118,T_119,T_120,T_121,T_122,T_123,T_124,T_125,T_126,T_127,T_128,T_129,T_130,T_131,T_132,T_133,T_134,T_135,T_136,T_137,T_138,T_139,T_140,
1,1,2,3,4,7,8,9,16,17,24,31,41,42,51,56,63,69,82,90,102,118,137,162,179,204,230,268,300,328,370,404,464,524,569,641,716,803,954,1051,1158,1297,1385,1504,1628,1821,2035,2181,2447,2669,2855,2995,3188,3289,3451,3641,3879,3925,4021,4004,3990,3940,3822,3691,3569,3420,3127,2996,2870,2747,2595,2399,2273,2085,1886,1667,1472,1332,1212,1120,1037,964,895,865,818,756,705,651,601,550,509,474,443,414,379,366,336,306,273,248,231,216,205,177,160,154,148,136,126,115,101,92,82,78,68,59,52,44,36,34,32,31,26,25,23,28,29,32,31,28,26,23,20,15,15,12,13,13,12,10,9,
1,1,2,3,4,7,8,9,16,17,24,31,41,42,51,56,63,69,82,90,102,118,137,162,179,204,230,268,300,328,370,404,464,524,569,641,716,803,954,1051,1158,1297,1385,1504,1628,1821,2035,2181,2447,2669,2855,2995,3188,3289,3451,3641,3879,3925,4021,4004,3990,3940,3822,3691,3569,3420,3127,2996,2870,2747,2595,2399,2273,2085,1886,1667,1472,1332,1212,1120,1037,964,895,865,818,756,705,651,601,550,509,474,443,414,379,366,336,306,273,248,231,216,205,177,160,154,148,136,126,115,101,92,82,78,68,59,52,44,36,34,32,31,26,25,23,28,29,32,31,28,26,23,20,15,15,12,13,13,12,10,9,
1,1,2,3,4,7,8,9,16,17,24,31,41,42,51,56,63,69,82,90,102,118,137,162,179,204,230,268,300,328,370,404,464,524,569,641,716,803,954,1051,1158,1297,1385,1504,1628,1821,2035,2181,2447,2669,2855,2995,3188,3289,3451,3641,3879,3925,4021,4004,3990,3940,3822,3691,3569,3420,3127,2996,2870,2747,2595,2399,2273,2085,1886,1667,1472,1332,1212,1120,1037,964,895,865,818,756,705,651,601,550,509,474,443,414,379,366,336,306,273,248,231,216,205,177,160,154,148,136,126,115,101,92,82,78,68,59,52,44,36,34,32,31,26,25,23,28,29,32,31,28,26,23,20,15,15,12,13,13,12,10,9,
1,1,2,3,4,7,8,9,16,17,24,31,41,42,51,56,63,69,82,90,102,118,137,162,179,204,230,268,300,328,370,404,464,524,569,641,716,803,954,1051,1158,1297,1385,1504,1628,1821,2035,2181,2447,2669,2855,2995,3188,3289,3451,3641,3879,3925,4021,4004,3990,3940,3822,3691,3569,3420,3127,2996,2870,2747,2595,2399,2273,2085,1886,1667,1472,1332,1212,1120,1037,964,895,865,818,756,705,651,601,550,509,474,443,414,379,366,336,306,273,248,231,216,205,177,160,154,148,136,126,115,101,92,82,78,68,59,52,44,36,34,32,31,26,25,23,28,29,32,31,28,26,23,20,15,15,12,13,13,12,10,9,
1,2,2,4,5,8,10,12,17,23,28,29,34,39,47,55,62,72,86,103,109,116,126,135,164,178,212,258,291,337,394,427,491,573,628,719,824,917,1016,1095,1147,1213,1299,1398,1544,1730,2011,2260,2485,2626,2743,2980,3135,3365,3636,3815,4111,4318,4594,4859,4954,4841,4565,4264,3943,3609,3351,3146,3013,2852,2659,2487,2340,2201,2050,1850,1739,1591,1435,1335,1226,1125,1045,964,884,778,708,646,599,552,492,460,412,381,357,329,296,273,253,230,204,194,177,158,147,141,132,131,113,105,94,90,84,79,72,64,62,57,54,48,43,40,38,36,34,30,30,28,24,20,18,15,10,10,10,8,7,6,5,5,5,
1,2,2,4,5,8,10,12,17,23,28,29,34,39,47,55,62,72,86,103,109,116,126,135,164,178,212,258,291,337,394,427,491,573,628,719,824,917,1016,1095,1147,1213,1299,1398,1544,1730,2011,2260,2485,2626,2743,2980,3135,3365,3636,3815,4111,4318,4594,4859,4954,4841,4565,4264,3943,3609,3351,3146,3013,2852,2659,2487,2340,2201,2050,1850,1739,1591,1435,1335,1226,1125,1045,964,884,778,708,646,599,552,492,460,412,381,357,329,296,273,253,230,204,194,177,158,147,141,132,131,113,105,94,90,84,79,72,64,62,57,54,48,43,40,38,36,34,30,30,28,24,20,18,15,10,10,10,8,7,6,5,5,5,
1,2,2,4,5,8,10,12,17,23,28,29,34,39,47,55,62,72,86,103,109,116,126,135,164,178,212,258,291,337,394,427,491,573,628,719,824,917,1016,1095,1147,1213,1299,1398,1544,1730,2011,2260,2485,2626,2743,2980,3135,3365,3636,3815,4111,4318,4594,4859,4954,4841,4565,4264,3943,3609,3351,3146,3013,2852,2659,2487,2340,2201,2050,1850,1739,1591,1435,1335,1226,1125,1045,964,884,778,708,646,599,552,492,460,412,381,357,329,296,273,253,230,204,194,177,158,147,141,132,131,113,105,94,90,84,79,72,64,62,57,54,48,43,40,38,36,34,30,30,28,24,20,18,15,10,10,10,8,7,6,5,5,5,
1,2,2,4,5,8,10,12,17,23,28,29,34,39,47,55,62,72,86,103,109,116,126,135,164,178,212,258,291,337,394,427,491,573,628,719,824,917,1016,1095,1147,1213,1299,1398,1544,1730,2011,2260,2485,2626,2743,2980,3135,3365,3636,3815,4111,4318,4594,4859,4954,4841,4565,4264,3943,3609,3351,3146,3013,2852,2659,2487,2340,2201,2050,1850,1739,1591,1435,1335,1226,1125,1045,964,884,778,708,646,599,552,492,460,412,381,357,329,296,273,253,230,204,194,177,158,147,141,132,131,113,105,94,90,84,79,72,64,62,57,54,48,43,40,38,36,34,30,30,28,24,20,18,15,10,10,10,8,7,6,5,5,5,
1,2,2,3,4,9,8,10,13,17,22,26,34,40,51,60,73,76,87,94,107,119,136,155,168,194,206,235,255,276,285,333,374,443,516,605,692,790,879,989,1107,1274,1440,1624,1831,2019,2220,2425,2640,2909,3174,3435,3634,3895,4082,4309,4355,4424,4392,4397,4410,4235,3963,3667,3399,3212,3064,2902,2740,2599,2471,2323,2188,2027,1896,1817,1724,1612,1497,1369,1235,1127,1012,914,836,753,723,674,626,568,510,458,421,387,356,325,314,284,274,250,223,213,206,180,173,168,153,143,130,125,108,98,94,89,84,78,74,66,64,58,52,45,40,37,33,31,30,29,24,23,22,21,20,19,18,18,19,21,19,18,17,
1,1,2,3,5,8,9,11,13,16,21,27,38,48,57,54,61,72,84,98,107,123,151,175,186,216,254,284,332,352,386,466,524,596,640,685,758,883,982,1101,1254,1437,1571,1680,1876,2113,2301,2447,2594,2794,2987,3123,3292,3413,3531,3604,3642,3728,3729,3760,3787,3743,3840,3790,3762,3610,3479,3300,3127,3005,2873,2613,2459,2262,2064,1863,1663,1516,1361,1256,1156,1056,947,857,784,701,631,572,505,468,418,393,351,333,297,271,248,221,205,188,168,149,138,119,103,91,84,82,74,74,73,71,62,55,53,51,44,42,40,37,37,37,35,34,32,31,28,24,20,19,18,17,14,13,13,11,10,6,5,4,4,
