T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25,T_26,T_27,T_28,T_29,T_30,T_31,T_32,T_33,T_34,T_35,T_36,T_37,T_38,T_39,T_40,T_41,T_42,T_43,T_44,T_45,T_46,T_47,T_48,T_49,T_50,T_51,T_52,T_53,T_54,T_55,T_56,T_57,T_58,T_59,T_60,T_61,T_62,T_63,T_64,T_65,T_66,T_67,T_68,T_69,T_70,T_71,T_72,T_73,T_74,T_75,T_76,T_77,T_78,T_79,T_80,T_81,T_82,T_83,T_84,T_85,T_86,T_87,T_88,T_89,T_90,T_91,T_92,T_93,T_94,T_95,T_96,T_97,T_98,T_99,T_100,T_101,T_102,T_103,T_104,T_105,T_106,T_107,T_108,T_109,T_110,T_111,T_112,T_113,T_114,T_115,T_116,T_117,T_118,T_119,
1,1,3,4,5,7,13,14,20,27,33,51,56,82,107,145,192,222,285,388,457,545,657,849,947,1109,1419,1639,1982,2524,2994,3767,4238,4745,4656,4491,4292,4178,4050,4353,4396,4660,4224,3678,3212,2759,2674,2659,2376,2208,1968,1866,1811,1695,1555,1393,1220,1047,931,800,704,616,588,519,473,397,350,319,300,289,291,268,219,195,168,137,118,106,108,93,77,64,63,65,61,49,50,46,39,37,31,32,27,24,19,16,14,13,6,7,7,7,6,9,9,11,12,9,11,8,8,6,5,7,10,14,17,16,19,21,
1,1,3,5,6,9,10,12,18,27,42,52,63,77,98,118,147,161,202,243,291,353,454,568,763,953,1204,1577,1779,1980,2227,2622,2965,3513,3960,4316,4628,4880,4817,4922,4782,4675,4523,4421,4201,3866,3301,2869,2698,2555,2431,2156,1924,1764,1558,1333,1153,1010,957,893,858,846,744,640,550,440,384,319,293,302,301,273,263,250,218,201,195,171,154,145,134,116,91,82,65,58,53,44,37,35,31,26,23,21,18,16,13,10,9,9,7,5,7,8,11,10,7,7,5,3,5,5,3,4,4,3,5,6,8,8,
1,2,4,4,5,7,9,12,21,26,37,58,73,99,119,152,183,216,272,347,411,500,633,778,937,1203,1480,1835,2156,2566,2843,3132,3284,3502,3763,4093,4237,4360,4359,4424,4394,4237,3978,3726,3860,3697,3352,3094,2744,2370,2078,1825,1549,1392,1250,1167,1071,953,882,755,751,667,582,478,425,415,378,357,349,324,297,280,260,234,192,168,157,147,131,114,104,95,76,68,61,49,41,33,32,28,25,21,20,18,17,16,12,11,10,10,10,8,8,8,8,8,9,8,9,9,8,8,6,5,2,2,2,2,2,2,
1,3,5,5,8,11,17,20,28,32,40,62,70,86,106,113,165,217,291,372,409,475,618,774,978,1142,1377,1643,1943,2389,2716,3020,3265,3594,3888,4159,4249,4079,3804,3615,3530,3439,3452,3365,3101,2892,2754,2609,2495,2262,1975,1759,1542,1391,1280,1241,1136,980,863,744,664,613,578,518,494,427,388,321,288,265,254,235,226,205,190,172,155,122,109,100,89,74,73,66,51,46,41,36,32,30,27,27,23,22,19,17,19,18,17,14,13,12,12,11,11,10,9,6,8,6,5,2,1,1,1,1,1,1,1,1,
1,3,5,5,8,11,17,20,28,32,40,62,70,86,106,113,165,217,291,372,409,475,618,774,978,1142,1377,1643,1943,2389,2716,3020,3265,3594,3888,4159,4249,4079,3804,3615,3530,3439,3452,3365,3101,2892,2754,2609,2495,2262,1975,1759,1542,1391,1280,1241,1136,980,863,744,664,613,578,518,494,427,388,321,288,265,254,235,226,205,190,172,155,122,109,100,89,74,73,66,51,46,41,36,32,30,27,27,23,22,19,17,19,18,17,14,13,12,12,11,11,10,9,6,8,6,5,2,1,1,1,1,1,1,1,1,
1,2,4,6,7,8,11,15,22,21,29,54,84,99,119,153,184,220,269,354,451,550,649,770,943,1099,1396,1716,2058,2458,3043,3545,3880,3922,3887,3940,3870,3719,3663,3750,3801,3746,3636,3442,3298,3230,3023,2807,2489,2422,2082,1766,1489,1291,1110,971,912,863,813,781,801,736,644,590,520,447,388,344,308,280,240,209,202,202,191,156,125,113,99,91,89,78,66,58,52,42,37,31,29,26,19,16,15,10,7,7,7,4,5,5,6,6,7,7,8,7,8,8,9,8,7,6,5,3,3,2,2,2,3,3,
1,2,3,5,7,11,12,14,17,21,27,41,61,84,107,124,147,193,247,320,367,440,543,654,804,929,1182,1390,1666,2003,2348,2811,3154,3294,3352,3463,3585,3715,3870,4094,4270,4263,4161,3929,3500,3066,2744,2651,2702,2470,2194,1884,1659,1480,1311,1224,1105,972,850,815,752,671,601,539,495,463,428,413,358,311,299,279,254,214,176,161,140,124,105,99,90,82,78,64,52,43,34,30,26,25,20,15,16,16,14,13,12,10,8,7,7,8,7,6,6,7,8,6,2,2,2,1,1,1,1,1,1,1,1,1,
1,2,3,6,6,8,12,16,22,29,34,53,64,85,99,123,167,190,245,302,380,499,585,713,908,1016,1152,1377,1695,2030,2509,2919,3091,3289,3477,3798,4137,4192,4224,4093,4095,4136,4112,3892,3521,3236,3001,2927,2762,2522,2293,2002,1741,1457,1344,1194,1111,992,839,732,639,555,509,457,425,408,406,413,387,363,314,295,251,228,207,177,164,148,129,99,84,71,67,62,54,43,36,32,27,28,26,23,19,20,15,14,13,10,9,8,7,6,6,9,8,4,4,5,5,8,5,5,5,6,5,5,5,3,3,3,
1,2,3,6,6,8,12,16,22,29,34,53,64,85,99,123,167,190,245,302,380,499,585,713,908,1016,1152,1377,1695,2030,2509,2919,3091,3289,3477,3798,4137,4192,4224,4093,4095,4136,4112,3892,3521,3236,3001,2927,2762,2522,2293,2002,1741,1457,1344,1194,1111,992,839,732,639,555,509,457,425,408,406,413,387,363,314,295,251,228,207,177,164,148,129,99,84,71,67,62,54,43,36,32,27,28,26,23,19,20,15,14,13,10,9,8,7,6,6,9,8,4,4,5,5,8,5,5,5,6,5,5,5,3,3,3,
1,2,3,6,7,9,15,17,26,28,34,50,59,86,108,120,141,150,204,278,323,368,454,579,780,1040,1357,1748,2199,2593,2931,3212,3669,4048,4321,4354,4455,4311,4443,4618,4699,4818,4697,4315,3712,3277,2999,2749,2515,2348,2169,1982,1873,1729,1554,1393,1205,1084,983,885,789,694,590,504,474,420,372,310,274,242,240,238,220,208,214,206,189,161,141,125,113,98,81,65,63,58,56,50,42,33,30,31,35,32,30,31,29,23,22,17,17,12,10,7,7,7,11,9,9,8,4,3,3,2,1,1,0,0,0,0,
