gamma,psi_distribs_0,psi_changetime_0,psi_distribs_1,phi_distribs_0,phi_changetime_0,phi_distribs_1,initialBeta,betaJitter,
0.17253634492468617,2.4170736362277246E-4,35.0,0.0027888234991042616,0.006106086245892572,35.0,0.057510538188648125,0.6333099842385722,0.04996738641310097,
0.16559103349409812,2.051358626170423E-4,35.0,0.0025928512460755017,0.005384062165407921,35.0,0.06164759693755187,0.5369744941912996,0.04695480204305498,
0.16559103349409812,2.051358626170423E-4,35.0,0.0025928512460755017,0.005384062165407921,35.0,0.06164759693755187,0.5369744941912996,0.04695480204305498,
0.15550364317588253,2.3219675986759492E-4,35.0,0.0026473772150065115,0.005806409850207373,35.0,0.057505051344207955,0.5452931348143222,0.04270972051491254,
0.1862266771821859,2.185886498957416E-4,35.0,0.002491523338162474,0.006364587670746647,35.0,0.050641162776854605,0.48539668131339814,0.036136147786801555,
0.18660228024062808,2.1948876399618955E-4,35.0,0.002479316051725,0.0058212362685188205,35.0,0.054628045311311636,0.5240719018827311,0.038013543336929294,
0.17933679306607395,2.1749361416696704E-4,35.0,0.00247100157840873,0.005515576671920722,35.0,0.048142438611209586,0.5372281840348905,0.04237859330265152,
0.17933679306607395,2.1749361416696704E-4,35.0,0.00247100157840873,0.005515576671920722,35.0,0.048142438611209586,0.5372281840348905,0.04237859330265152,
0.17521961909375255,1.7515058106975186E-4,35.0,0.0029409952686115653,0.006027323735189924,35.0,0.058075655644998926,0.42115807310800024,0.041644043648667695,
0.1747819322960195,1.631180673057889E-4,35.0,0.003024115297760375,0.005976538482109929,35.0,0.06351481505970975,0.31159936673194655,0.03643064376427219,
0.1498780655746442,2.3440260955231887E-4,35.0,0.002594019665356022,0.007126617985614691,35.0,0.055937466667901406,0.27568636511973144,0.034507150800396076,
0.14586486859700404,2.37814331597932E-4,35.0,0.0031326040582197313,0.007706110806780123,35.0,0.061364495951384664,0.2755910132669214,0.03371045221135232,
0.16571551101999715,2.543592746242188E-4,35.0,0.00280715196194441,0.0067154224532706705,35.0,0.056749709059961566,0.2870986661373215,0.03531239706818773,
0.17479216942776257,2.706161034417871E-4,35.0,0.0030531863821984593,0.006779722377173522,35.0,0.05123331102452284,0.26888207060432967,0.038051894660737315,
