"t","R","S","I","psi"
"16.7160371861733","89","19727","184","3"
"16.7207108719161","89","19726","185","3"
"16.7257800409181","89","19725","186","3"
"16.7262280665939","90","19725","185","3"
"16.728953999233","90","19724","186","3"
"16.740353080427","91","19724","185","3"
"16.7498623924816","91","19723","186","3"
"16.7620275280123","91","19722","187","3"
"16.7624356940309","91","19721","188","3"
"16.7693185579058","91","19720","189","3"
"16.7694888213355","91","19719","190","3"
"16.7733851266025","91","19718","191","3"
"16.7898870780039","91","19717","192","3"
"16.8076055374149","91","19716","193","3"
"16.809823742145","92","19716","192","3"
"16.8102666418017","93","19716","191","3"
"16.8238888065727","93","19715","192","3"
"16.8265641719169","93","19714","193","3"
"16.8416928662463","93","19713","194","3"
"16.8466469724723","93","19712","195","3"
"16.8541389172491","93","19711","196","3"
"16.8562194911439","94","19711","195","3"
"16.8564144228059","94","19710","196","3"
"16.8591759923603","94","19709","197","3"
"16.8797565906825","94","19708","198","3"
"16.8917219201206","94","19707","199","3"
"16.8997694889018","94","19706","200","3"
"16.9133544946597","94","19705","201","3"
"16.917855829464","95","19705","200","3"
"16.9206746526787","95","19704","201","3"
"16.9266401387951","95","19703","202","3"
"16.9420182107371","95","19702","203","3"
"16.9446956466957","96","19702","202","3"
"16.9538066779616","96","19701","203","3"
"16.9539860558606","96","19700","204","3"
"16.9657334416708","97","19700","203","3"
"16.9747781604415","97","19699","204","3"
"16.9779630770886","97","19698","205","3"
"16.9798115547565","98","19698","204","3"
"16.9886739456045","99","19698","203","3"
"17.0220023550674","99","19697","204","3"
"17.0290756721889","99","19696","205","3"
"17.0426069961557","100","19696","204","3"
"17.0534069643673","100","19695","205","3"
"17.0680373532342","100","19694","206","3"
"17.072402114584","100","19693","207","3"
"17.0737600074322","100","19692","208","3"
"17.081072227107","100","19691","209","3"
"17.0872525218854","100","19690","210","3"
"17.093924004728","100","19689","211","3"
"17.1115477521334","100","19688","212","3"
"17.1139472228734","100","19687","213","3"
"17.1223162931493","101","19687","212","3"
"17.1353887841328","101","19686","213","3"
"17.1462359340554","102","19686","212","3"
"17.1492896906648","102","19685","213","3"
"17.1526208499872","102","19684","214","3"
"17.1664418562203","102","19683","215","3"
"17.172913139684","102","19682","216","3"
"17.1921426198835","103","19682","215","3"
"17.1945960345911","103","19681","216","3"
"17.2150807771857","104","19681","215","3"
"17.2229202560474","105","19681","214","3"
"17.2273630891857","106","19681","213","3"
"17.2284928459343","106","19680","214","3"
"17.2285570444946","106","19679","215","3"
"17.2471997298862","106","19678","216","3"
"17.251084179383","106","19677","217","3"
"17.2556086285538","107","19677","216","3"
"17.2561168520532","107","19676","217","3"
"17.2669591362681","107","19675","218","3"
"17.2765297141036","107","19674","219","3"
"17.2901951095145","108","19674","218","3"
"17.2970258738873","108","19673","219","3"
"17.3034456341016","108","19672","220","3"
"17.3062720083289","108","19671","221","3"
"17.3077167474836","108","19670","222","3"
"17.332274347838","108","19669","223","3"
"17.3518559762562","108","19668","224","3"
"17.3539043453061","108","19667","225","3"
"17.3544488998611","108","19666","226","3"
"17.3568471496526","108","19665","227","3"
"17.3714009071669","108","19664","228","3"
"17.3915485199919","108","19663","229","3"
"17.3944490552693","109","19663","228","3"
"17.40146640143","109","19662","229","3"
"17.404385209449","109","19661","230","3"
"17.4075289873107","109","19660","231","3"
"17.4117250966356","109","19659","232","3"
"17.4173203465549","109","19658","233","3"
"17.4183166110126","109","19657","234","3"
"17.4196455562675","110","19657","233","3"
"17.4285183769446","110","19656","234","3"
"17.4294788972579","110","19655","235","3"
"17.4317446133656","111","19655","234","3"
"17.4440463530344","112","19655","233","3"
"17.4766388130482","112","19654","234","3"
"17.4864799265857","112","19653","235","3"
"17.5068670664171","112","19652","236","3"
"17.5103101109697","112","19651","237","3"
"17.5118509236924","113","19651","236","3"
"17.5172046440867","113","19650","237","3"
"17.5279886381713","113","19649","238","3"
"17.5314355357417","113","19648","239","3"
"17.5383705169276","113","19647","240","3"
"17.5394100068801","114","19647","239","3"
"17.5483040698803","114","19646","240","3"
"17.5498351205352","114","19645","241","3"
"17.5571569237932","114","19644","242","3"
"17.5623479753963","115","19644","241","3"
"17.5651842787002","115","19643","242","3"
"17.5695181788076","115","19642","243","3"
"17.5753770415509","116","19642","242","3"
"17.576078818266","117","19642","241","3"
"17.5778531643443","118","19642","240","3"
"17.5790238850268","118","19641","241","3"
"17.5836936641544","118","19640","242","3"
"17.5997931238307","119","19640","241","3"
"17.6017867954725","119","19639","242","3"
"17.6210430646838","119","19638","243","3"
"17.6326434030814","120","19638","242","3"
"17.6421987413658","120","19637","243","3"
"17.6436244855155","120","19636","244","3"
"17.6486458757956","121","19636","243","3"
"17.6496686057885","121","19635","244","3"
"17.6549155608219","121","19634","245","3"
"17.6556830029807","121","19633","246","3"
"17.6559105944718","121","19632","247","3"
