gamma,psi_distribs_0,psi_changetime_0,psi_distribs_1,phi_distribs_0,phi_changetime_0,phi_distribs_1,initialBeta,betaJitter,
0.17709596635533184,2.662323358648249E-4,35.0,0.0031072038445234674,0.005,35.0,0.05,0.4409992195299042,0.046298645815085165,
0.17170343582941536,2.926235357694386E-4,35.0,0.002776052710196705,0.005,35.0,0.05,0.43129710461878557,0.04699754329180692,
0.17170343582941536,2.926235357694386E-4,35.0,0.002776052710196705,0.005,35.0,0.05,0.43129710461878557,0.04699754329180692,
0.1530716290811163,1.8077703076081782E-4,35.0,0.003630002539771865,0.005,35.0,0.05,0.28646604183504815,0.03792206620234238,
0.1284920443890648,2.1253596332350535E-4,35.0,0.003239364794689693,0.005,35.0,0.05,0.3052799765999991,0.04907041432787574,
0.15571142197892218,2.1954423218201814E-4,35.0,0.0032473024178910756,0.005,35.0,0.05,0.33910439327254527,0.04403214377024482,
0.15571142197892218,2.1954423218201814E-4,35.0,0.0032473024178910756,0.005,35.0,0.05,0.33910439327254527,0.04403214377024482,
0.15571142197892218,2.1954423218201814E-4,35.0,0.0032473024178910756,0.005,35.0,0.05,0.33910439327254527,0.04403214377024482,
0.14608999862965308,2.3431729918331896E-4,35.0,0.002434472116786452,0.005,35.0,0.05,0.3991802393098911,0.04295234043253038,
0.16010164746539696,2.549361546438955E-4,35.0,0.0024372304950941617,0.005,35.0,0.05,0.3258050629624358,0.05261307257136064,
0.16010164746539696,2.549361546438955E-4,35.0,0.0024372304950941617,0.005,35.0,0.05,0.3258050629624358,0.05261307257136064,
0.16010164746539696,2.549361546438955E-4,35.0,0.0024372304950941617,0.005,35.0,0.05,0.3258050629624358,0.05261307257136064,
0.16010164746539696,2.549361546438955E-4,35.0,0.0024372304950941617,0.005,35.0,0.05,0.3258050629624358,0.05261307257136064,
0.16010164746539696,2.549361546438955E-4,35.0,0.0024372304950941617,0.005,35.0,0.05,0.3258050629624358,0.05261307257136064,
0.17086975985325542,2.591784331130806E-4,35.0,0.0024816429013732326,0.005,35.0,0.05,0.2846276906328082,0.04837662465079122,
0.17086975985325542,2.591784331130806E-4,35.0,0.0024816429013732326,0.005,35.0,0.05,0.2846276906328082,0.04837662465079122,
0.18071881164865491,2.0601820884399036E-4,35.0,0.002610363023882898,0.005,35.0,0.05,0.4560160525524995,0.05653492505979692,
0.19005330889975108,2.125058004099013E-4,35.0,0.002858113968897265,0.005,35.0,0.05,0.5847956980899104,0.05412092531059879,
0.19005330889975108,2.125058004099013E-4,35.0,0.002858113968897265,0.005,35.0,0.05,0.5847956980899104,0.05412092531059879,
0.19225002739935376,2.3200719797390182E-4,35.0,0.00279940258631557,0.005,35.0,0.05,0.5692421069479883,0.04829868228034146,
0.1703472097731242,2.5110353805612523E-4,35.0,0.0026519540690498906,0.005,35.0,0.05,0.6170521392416844,0.044745417735354516,
0.1703472097731242,2.5110353805612523E-4,35.0,0.0026519540690498906,0.005,35.0,0.05,0.6170521392416844,0.044745417735354516,
0.1703472097731242,2.5110353805612523E-4,35.0,0.0026519540690498906,0.005,35.0,0.05,0.6170521392416844,0.044745417735354516,
