T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,
0,2,23,78,119,658,351,139,56,20,6,
0,1,14,71,122,701,312,156,52,22,9,7,0,0,
0,1,18,55,102,697,318,169,66,26,14,8,4,1,
0,1,18,76,118,666,347,169,66,26,14,7,5,0,
0,1,18,73,134,713,343,153,60,26,13,7,6,0,
0,2,23,72,113,696,322,150,76,30,16,9,2,0,
0,2,23,72,113,696,322,150,76,30,16,9,2,0,
0,2,19,56,99,660,340,149,64,29,18,7,1,0,
0,1,15,64,107,630,329,157,50,20,11,9,3,
0,1,16,60,130,721,321,136,61,24,9,3,0,0,
0,2,15,68,100,709,342,145,53,18,10,4,2,0,
0,2,22,82,120,639,292,143,64,25,15,8,1,0,
0,2,19,63,108,688,323,149,61,32,16,4,0,0,
0,1,14,50,97,688,360,166,72,21,6,
0,2,23,57,99,676,345,185,69,25,14,4,
0,2,18,56,94,713,349,158,55,22,9,
0,3,20,65,103,687,303,160,52,21,6,
0,1,17,52,118,743,329,147,57,26,13,3,
0,2,19,66,124,757,342,153,68,21,8,
0,2,18,70,113,673,317,189,61,24,9,2,
0,2,23,72,124,681,319,154,63,17,7,
0,2,14,57,139,698,354,200,77,27,13,2,
0,2,23,70,126,717,326,117,60,21,13,7,3,0,
0,2,23,73,111,671,355,150,54,18,12,2,
0,2,24,87,125,684,344,156,49,16,8,2,
0,2,24,87,125,684,344,156,49,16,8,2,
0,2,20,66,143,635,280,139,61,21,9,3,1,0,
0,2,19,68,127,719,325,163,74,25,8,
0,2,21,76,120,675,314,157,67,23,13,7,5,0,
0,3,22,65,130,693,337,164,60,26,14,8,5,1,
0,2,18,90,158,675,313,158,62,20,10,3,
0,1,17,54,110,639,309,148,65,22,9,7,7,3,
0,2,21,83,171,729,316,144,60,23,11,8,4,0,
0,1,29,91,135,702,346,134,59,20,12,7,6,0,
0,2,21,68,121,648,322,151,68,30,14,7,5,0,
0,2,17,66,137,747,362,147,63,26,20,11,5,0,
0,2,20,69,126,718,317,136,54,24,17,7,3,0,
0,1,17,73,126,692,309,153,63,23,14,7,3,0,
0,2,17,57,121,744,352,155,54,25,8,3,
0,1,20,71,129,688,348,158,58,22,13,7,1,0,
0,1,17,65,125,768,278,145,69,27,14,5,
0,2,13,63,138,745,362,166,68,35,12,6,3,0,
0,1,17,64,107,708,321,147,69,22,12,2,
0,1,18,74,109,678,343,142,59,22,11,3,
